id,orderId,productId,quantity,price,createdAt
soi1,so1,p373,4,4112,2024-04-12T15:41:28.965Z
soi2,so2,p150,4,30855,2025-07-23T23:03:34.300Z
soi3,so2,p302,5,59162,2024-06-24T03:29:23.657Z
soi4,so3,p351,4,3144,2025-11-06T06:57:13.725Z
soi5,so3,p245,5,33571,2025-05-28T09:44:14.747Z
soi6,so4,p265,2,27986,2024-12-06T10:23:46.431Z
soi7,so4,p368,3,26863,2026-02-20T17:03:50.590Z
soi8,so5,p178,2,42857,2024-10-13T18:59:40.681Z
soi9,so5,p368,4,26863,2025-03-14T15:09:39.017Z
soi10,so6,p247,3,21346,2024-08-22T23:06:26.094Z
soi11,so6,p366,4,37121,2025-04-18T05:17:10.843Z
soi12,so6,p331,4,10728,2025-06-25T08:08:56.181Z
soi13,so7,p298,3,1482,2025-05-16T23:40:42.633Z
soi14,so8,p45,5,17287,2024-07-17T17:30:38.712Z
soi15,so8,p324,2,2008,2025-07-23T05:05:23.336Z
soi16,so8,p85,1,58962,2024-04-02T15:42:07.937Z
soi17,so9,p249,2,8198,2024-09-29T20:53:06.008Z
soi18,so10,p303,2,79948,2026-01-08T02:41:15.356Z
soi19,so11,p304,3,10768,2025-05-17T10:36:21.675Z
soi20,so11,p58,4,16123,2025-09-16T10:01:54.676Z
soi21,so12,p182,3,58207,2024-09-26T04:10:45.242Z
soi22,so12,p43,1,5996,2024-08-01T07:36:47.660Z
soi23,so13,p231,5,177,2025-01-01T12:54:01.923Z
soi24,so13,p235,3,39357,2025-03-03T12:36:52.098Z
soi25,so14,p298,1,1482,2025-08-24T09:37:27.447Z
soi26,so14,p259,4,63634,2025-07-29T13:37:28.611Z
soi27,so14,p245,2,33571,2025-07-30T19:58:19.233Z
soi28,so14,p191,2,47146,2025-01-03T18:07:38.381Z
soi29,so15,p12,1,68502,2025-01-10T05:03:57.625Z
soi30,so15,p108,4,66652,2025-05-25T01:02:38.383Z
soi31,so15,p106,2,62354,2024-10-07T15:32:28.660Z
soi32,so15,p289,2,46107,2024-10-01T07:57:54.977Z
soi33,so16,p340,4,2057,2025-07-17T03:33:35.813Z
soi34,so16,p345,3,51348,2025-05-13T13:04:23.779Z
soi35,so17,p325,4,11272,2025-07-16T03:53:16.801Z
soi36,so17,p275,3,13628,2024-04-19T05:25:23.463Z
soi37,so18,p140,4,16904,2025-06-23T20:24:20.768Z
soi38,so18,p354,3,75850,2024-12-18T16:23:09.530Z
soi39,so18,p369,4,49938,2025-01-08T02:12:25.277Z
soi40,so18,p370,5,69043,2024-04-19T16:04:25.974Z
soi41,so19,p153,5,56769,2025-12-31T09:33:22.074Z
soi42,so19,p71,4,67085,2026-03-02T06:56:15.069Z
soi43,so19,p241,5,44546,2025-08-31T21:10:19.354Z
soi44,so20,p362,1,4907,2024-08-29T15:30:28.717Z
soi45,so20,p332,2,42575,2025-08-16T20:21:09.838Z
soi46,so20,p50,4,9217,2025-03-12T06:24:48.289Z
soi47,so21,p172,4,40398,2025-05-04T08:28:58.242Z
soi48,so22,p36,2,45911,2024-10-07T13:30:34.091Z
soi49,so22,p276,1,75508,2024-10-27T06:13:09.947Z
soi50,so23,p396,1,4919,2025-12-02T05:10:16.155Z
soi51,so23,p313,3,24136,2026-02-11T21:48:25.078Z
soi52,so23,p77,2,66130,2024-10-10T23:27:02.066Z
soi53,so23,p376,1,55814,2025-08-21T04:36:50.428Z
soi54,so24,p261,1,10957,2025-06-20T19:18:12.772Z
soi55,so25,p14,2,54970,2024-08-14T23:29:15.990Z
soi56,so25,p234,4,76372,2024-04-11T15:42:44.303Z
soi57,so25,p9,3,49351,2024-08-10T06:52:07.653Z
soi58,so26,p67,3,16535,2024-12-15T14:57:01.031Z
soi59,so26,p200,3,74904,2025-04-18T08:16:56.597Z
soi60,so27,p291,5,26374,2025-06-25T15:05:01.240Z
soi61,so27,p268,2,66361,2025-11-25T06:40:37.830Z
soi62,so27,p1,3,77179,2025-07-22T04:59:40.043Z
soi63,so28,p286,4,20419,2025-11-27T20:52:24.013Z
soi64,so29,p237,1,3231,2025-05-16T10:19:39.346Z
soi65,so29,p378,3,47833,2024-06-08T15:12:34.793Z
soi66,so30,p147,5,72890,2024-09-08T07:31:31.092Z
soi67,so30,p309,1,75859,2024-06-14T10:30:28.999Z
soi68,so30,p261,2,10957,2024-07-12T04:01:51.372Z
soi69,so31,p392,4,8779,2024-12-14T07:49:07.118Z
soi70,so31,p82,1,8266,2025-03-30T06:20:48.953Z
soi71,so32,p192,4,78095,2024-12-04T04:36:40.757Z
soi72,so32,p248,5,9756,2025-01-09T22:52:11.008Z
soi73,so33,p156,3,34779,2025-06-22T02:32:51.380Z
soi74,so33,p298,1,1482,2024-08-08T03:06:49.554Z
soi75,so33,p111,2,8813,2024-08-01T23:13:14.743Z
soi76,so33,p20,1,42689,2024-05-26T09:25:56.721Z
