id,customerId,status,totalAmount,currency,createdAt,updatedAt,completedAt,createdBy
so1,cust13,COMPLETED,16448,INR,2025-12-12T14:13:52.470Z,2024-11-01T23:45:42.541Z,2025-11-17T04:15:16.772Z,u9
so2,cust60,COMPLETED,419230,INR,2024-06-16T11:04:58.953Z,2025-07-22T12:32:40.982Z,2024-12-18T13:28:54.751Z,u3
so3,cust79,COMPLETED,180431,INR,2024-07-07T18:39:06.121Z,2024-08-30T05:44:00.949Z,2024-05-31T22:20:29.169Z,u5
so4,cust75,COMPLETED,136561,INR,2024-09-09T11:07:47.147Z,2025-07-21T22:58:13.248Z,2025-08-12T02:56:28.594Z,u6
so5,cust122,COMPLETED,193166,INR,2025-11-24T13:57:23.331Z,2024-03-08T16:11:09.369Z,2025-12-08T21:53:21.186Z,u6
so6,cust97,COMPLETED,255434,INR,2024-11-26T07:50:54.100Z,2024-03-25T10:00:36.262Z,2024-04-11T20:33:05.290Z,u9
so7,cust59,COMPLETED,4446,INR,2025-09-23T22:32:33.929Z,2025-11-28T03:44:03.661Z,2024-08-03T06:24:29.980Z,u4
so8,cust84,COMPLETED,149413,INR,2026-02-20T15:36:25.002Z,2024-07-26T23:44:58.331Z,2025-07-10T02:34:51.905Z,u9
so9,cust146,COMPLETED,16396,INR,2024-07-17T03:22:51.076Z,2024-12-25T04:37:08.885Z,2025-04-14T06:10:53.400Z,u6
so10,cust129,COMPLETED,159896,INR,2025-05-29T19:12:26.687Z,2026-01-11T23:45:21.983Z,2024-11-11T19:15:10.027Z,u10
so11,cust150,COMPLETED,96796,INR,2025-11-28T00:12:40.136Z,2025-01-28T20:04:18.214Z,2024-12-12T05:08:06.491Z,u9
so12,cust111,COMPLETED,180617,INR,2024-04-30T14:14:37.860Z,2025-12-20T00:52:10.713Z,2025-02-19T05:14:11.493Z,u4
so13,cust31,COMPLETED,118956,INR,2026-01-11T00:58:25.705Z,2024-05-22T23:31:22.708Z,2024-12-21T17:50:54.063Z,u8
so14,cust9,COMPLETED,417452,INR,2025-04-10T23:30:15.316Z,2025-05-27T07:49:30.311Z,2024-07-03T16:49:02.628Z,u2
so15,cust61,COMPLETED,552032,INR,2025-04-27T15:41:57.171Z,2024-08-18T06:12:10.520Z,2025-08-24T20:09:25.166Z,u7
so16,cust5,COMPLETED,162272,INR,2025-04-28T04:11:44.071Z,2024-04-13T04:12:43.465Z,2025-12-17T12:08:01.615Z,u2
so17,cust121,COMPLETED,85972,INR,2025-02-21T23:49:47.376Z,2024-05-14T19:33:07.737Z,2025-08-24T17:16:43.022Z,u7
so18,cust103,COMPLETED,840133,INR,2025-02-27T17:48:44.219Z,2024-11-02T19:31:44.566Z,2026-01-03T12:17:50.157Z,u7
so19,cust125,COMPLETED,774915,INR,2024-10-27T08:08:53.991Z,2025-12-18T09:05:41.895Z,2024-11-22T13:41:17.205Z,u6
so20,cust150,COMPLETED,126925,INR,2025-09-10T01:19:52.252Z,2025-11-03T20:38:12.785Z,2024-12-27T19:22:23.884Z,u1
so21,cust28,COMPLETED,161592,INR,2026-01-22T08:56:00.767Z,2024-07-16T01:14:43.356Z,2025-09-07T16:24:17.636Z,u2
so22,cust110,COMPLETED,167330,INR,2026-02-12T11:16:25.305Z,2024-12-04T06:29:00.626Z,2025-10-26T16:22:58.370Z,u3
so23,cust132,COMPLETED,265401,INR,2025-08-22T22:56:49.869Z,2024-03-13T16:49:31.304Z,2025-12-09T14:45:19.382Z,u4
so24,cust63,COMPLETED,10957,INR,2025-11-09T16:45:31.379Z,2025-03-23T13:53:16.663Z,2024-07-12T02:03:18.378Z,u1
so25,cust13,COMPLETED,563481,INR,2025-10-07T11:10:28.957Z,2025-03-04T05:27:09.039Z,2026-01-26T23:21:47.966Z,u2
so26,cust19,COMPLETED,274317,INR,2025-01-01T06:03:49.631Z,2025-05-25T19:22:29.507Z,2024-11-27T12:22:03.414Z,u9
so27,cust115,COMPLETED,496129,INR,2025-09-16T06:52:02.523Z,2024-04-30T14:15:14.249Z,2025-09-25T14:29:32.668Z,u3
so28,cust1,COMPLETED,81676,INR,2025-11-27T00:13:22.257Z,2025-11-14T06:53:27.349Z,2024-06-22T13:57:10.883Z,u3
so29,cust44,COMPLETED,146730,INR,2024-05-05T02:21:16.517Z,2026-02-16T11:34:17.590Z,2024-06-15T11:15:38.223Z,u7
so30,cust6,COMPLETED,462223,INR,2025-10-10T16:06:25.588Z,2024-04-17T03:29:46.709Z,2025-10-04T09:56:52.901Z,u4
so31,cust147,COMPLETED,43382,INR,2026-02-17T21:58:46.352Z,2024-11-02T10:20:01.016Z,2026-01-13T20:35:23.468Z,u6
so32,cust11,COMPLETED,361160,INR,2024-04-25T15:10:46.114Z,2024-12-17T18:17:18.576Z,2025-12-24T11:36:48.039Z,u4
so33,cust25,COMPLETED,166134,INR,2025-11-23T06:24:36.447Z,2024-05-31T23:57:52.994Z,2025-03-14T20:53:44.503Z,u2
so34,cust65,COMPLETED,527613,INR,2025-11-18T03:38:12.917Z,2024-09-25T22:44:43.645Z,2025-02-17T00:46:33.375Z,u8
so35,cust129,COMPLETED,426981,INR,2025-03-28T11:52:10.624Z,2025-08-09T04:27:31.264Z,2024-09-07T01:54:13.560Z,u7
so36,cust77,COMPLETED,143028,INR,2024-04-04T18:09:29.512Z,2025-05-02T02:56:32.293Z,2024-07-02T20:54:25.539Z,u4
so37,cust29,COMPLETED,617960,INR,2025-08-21T01:41:28.291Z,2024-05-15T06:48:52.286Z,2025-11-22T01:15:39.116Z,u3
so38,cust93,COMPLETED,49799,INR,2025-04-15T09:20:50.684Z,2024-03-29T11:00:39.590Z,2024-08-31T19:41:00.371Z,u6
so39,cust95,COMPLETED,778060,INR,2024-10-03T04:32:11.229Z,2024-11-13T23:11:00.018Z,2024-10-04T06:28:43.557Z,u7
so40,cust124,COMPLETED,223989,INR,2024-05-28T17:42:43.256Z,2025-02-28T19:01:47.878Z,2024-09-10T14:51:29.484Z,u6
so41,cust48,COMPLETED,424317,INR,2025-06-27T07:42:26.002Z,2024-08-26T16:37:08.174Z,2024-03-11T04:38:28.817Z,u6
so42,cust94,COMPLETED,326087,INR,2025-07-29T07:31:31.943Z,2026-03-04T19:50:38.665Z,2024-08-15T15:08:18.503Z,u10
so43,cust30,COMPLETED,347081,INR,2025-03-01T12:51:24.558Z,2025-09-03T14:06:45.436Z,2024-10-31T14:24:28.498Z,u7
