id,name,email,phone,address,isActive,createdAt
s1,Supplier 1,supplier1@mail.com,9408450449,City 1,true,2025-09-17T16:42:40.912Z
s2,Supplier 2,supplier2@mail.com,9659595333,City 2,true,2024-10-11T19:31:42.196Z
s3,Supplier 3,supplier3@mail.com,9249145773,City 3,true,2024-12-14T10:58:50.266Z
s4,Supplier 4,supplier4@mail.com,9245361839,City 4,true,2026-03-03T13:46:39.564Z
s5,Supplier 5,supplier5@mail.com,9422820644,City 5,true,2024-05-13T12:52:19.253Z
s6,Supplier 6,supplier6@mail.com,9621582146,City 6,true,2024-04-30T11:58:23.219Z
s7,Supplier 7,supplier7@mail.com,9408520058,City 7,true,2025-05-13T01:08:44.228Z
s8,Supplier 8,supplier8@mail.com,9240104140,City 8,true,2025-02-16T08:05:08.426Z
s9,Supplier 9,supplier9@mail.com,9178268744,City 9,true,2025-05-11T05:30:25.277Z
s10,Supplier 10,supplier10@mail.com,9853566474,City 10,true,2026-01-04T03:12:39.866Z
s11,Supplier 11,supplier11@mail.com,9876989467,City 11,true,2024-09-23T02:26:44.277Z
s12,Supplier 12,supplier12@mail.com,9732676812,City 12,true,2024-09-26T17:24:21.144Z
s13,Supplier 13,supplier13@mail.com,9735054732,City 13,true,2025-06-23T20:24:15.981Z
s14,Supplier 14,supplier14@mail.com,9656269266,City 14,true,2024-05-03T01:30:15.040Z
s15,Supplier 15,supplier15@mail.com,9579811652,City 15,true,2025-06-10T16:16:38.943Z
s16,Supplier 16,supplier16@mail.com,9405503975,City 16,true,2025-09-06T00:26:20.835Z
s17,Supplier 17,supplier17@mail.com,9933559403,City 17,true,2025-12-08T22:58:29.122Z
s18,Supplier 18,supplier18@mail.com,9103409691,City 18,true,2024-07-10T04:32:50.132Z
s19,Supplier 19,supplier19@mail.com,9957720945,City 19,true,2024-09-28T14:49:53.141Z
s20,Supplier 20,supplier20@mail.com,9129957095,City 20,true,2024-05-15T10:41:50.067Z
s21,Supplier 21,supplier21@mail.com,9555639113,City 21,true,2024-04-26T01:53:23.331Z
s22,Supplier 22,supplier22@mail.com,9266348389,City 22,true,2024-11-24T20:10:40.549Z
s23,Supplier 23,supplier23@mail.com,9933967594,City 23,true,2026-03-06T06:52:46.460Z
s24,Supplier 24,supplier24@mail.com,9963717768,City 24,true,2024-10-15T13:46:35.093Z
s25,Supplier 25,supplier25@mail.com,9534716240,City 25,true,2024-11-02T11:18:33.909Z
s26,Supplier 26,supplier26@mail.com,9498901004,City 26,true,2025-12-02T03:42:55.601Z
s27,Supplier 27,supplier27@mail.com,9103046647,City 27,true,2024-12-17T18:10:32.924Z
s28,Supplier 28,supplier28@mail.com,9374272737,City 28,true,2026-01-03T16:05:50.125Z
s29,Supplier 29,supplier29@mail.com,9962013227,City 29,true,2025-08-18T13:03:39.725Z
s30,Supplier 30,supplier30@mail.com,9761793336,City 30,true,2025-03-23T21:26:56.790Z
